"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","buyer_rank"
Palm Desert,0.88,0.92,74.58,1
Big Bear Lake,2.91,1.04,70.33,2
Marina Del Rey,1.61,1.05,77.50,3
Indio,1.10,1.0,65.90,3
Laguna Woods,0.87,0.83,55.75,5
Palm Springs,0.92,1.05,73.58,6
Aptos,1.08,1.06,59.55,7
Big Bear City,2.51,1.08,58.02,8
Idyllwild,1.48,1.11,73.13,9
North Hollywood,0.86,0.92,49.35,10
Indian Wells,0.65,0.96,81.44,11
Discovery Bay,1.65,1.1,55.00,12
La Quinta,0.78,1.07,75.88,13
Dublin,0.65,0.94,57.07,14
El Monte,0.78,1.01,54.44,15
Cathedral City,0.79,1.06,60.99,16
Crestline,1.08,1.07,49.15,17
Irvine,1.01,1.15,69.92,18
Campbell,1.36,0.87,34.00,19
Mariposa,1.17,1.22,66.67,20
Yucca Valley,1.27,1.21,61.71,21
Newhall,0.98,1.0,43.01,21
Joshua Tree,1.66,1.26,63.64,23
Canyon Country,0.93,1.02,45.81,23
Panorama City,1.05,0.94,37.93,23
Kelseyville,1.53,1.31,70.97,26
Fairfield,0.75,0.91,44.78,26
Lake Arrowhead,2.53,1.4,71.76,28
Marina,0.98,1.08,50.00,29
Malibu,3.93,1.55,79.27,30
Coronado,1.13,1.26,67.00,31
Sherman Oaks,0.97,1.13,57.26,31
Rancho Mirage,0.90,1.21,83.95,33
Encino,1.22,1.27,63.89,34
West Hollywood,1.72,1.38,66.67,35
"29 Palms",2.01,1.19,50.47,36
Helendale,0.93,1.09,50.82,37
San Ramon,0.64,0.89,47.20,37
Monterey Park,0.79,1.08,55.26,39
Pleasanton,0.58,0.94,53.40,40
Inglewood,0.91,1.07,47.62,41
Valencia,0.76,0.95,42.77,42
Coto de Caza,1.02,1.35,71.43,43
Clearlake,1.39,1.39,63.16,44
Agoura Hills,1.04,1.28,59.55,44
Alhambra,0.77,1.03,48.09,44
Beverly Hills,1.92,1.62,65.97,47
San Diego,0.65,0.96,46.95,48
