"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","competative_rank"
Salinas,0.51,1.47,33.95,1
Santa Maria,0.39,1.19,31.39,2
Jurupa Valley,0.52,1.3,28.50,3
Manhattan Beach,0.43,1.72,40.91,4
Whittier,0.49,1.16,27.47,5
Lakewood,0.27,1.08,28.00,6
Fountain Valley,0.41,1.09,32.33,7
Livermore,0.40,1.13,35.90,8
Moreno Valley,0.46,1.07,27.99,9
Perris,0.61,1.18,27.31,10
Norwalk,0.35,1.01,22.78,11
Wildomar,0.58,1.15,29.50,12
San Bernardino,0.50,1.06,27.07,13
San Leandro,0.38,0.97,18.52,14
Carson,0.52,1.06,25.78,15
Yorba Linda,0.50,1.34,44.32,15
Rialto,0.47,1.0,19.69,17
Riverside,0.58,1.17,34.15,18
Castro Valley,0.33,0.97,26.09,19
Santee,0.41,1.02,30.41,20
Menifee,0.52,1.14,37.57,21
San Clemente,0.41,1.43,53.52,22
San Luis Obispo,0.50,1.3,46.30,23
Hesperia,0.63,1.13,29.52,24
Castaic,0.68,1.24,32.18,24
Poway,0.48,1.29,47.16,26
Downey,0.55,1.06,27.27,27
Murrieta,0.63,1.35,39.78,27
Fontana,0.58,1.07,27.84,29
Palo Alto,0.52,1.04,27.78,30
Santa Paula,0.71,1.97,40.00,31
Monrovia,0.55,1.14,37.89,32
Ventura,0.52,1.36,47.71,33
Alameda,0.32,0.86,15.15,34
Buena Park,0.44,1.13,44.22,34
San Juan Capistrano,0.53,1.56,49.22,34
Antioch,0.58,1.04,23.96,37
Yucaipa,0.50,1.04,33.33,37
Chico,0.54,1.14,39.42,39
Berkeley,0.28,0.62,10.07,40
La Puente,0.65,1.07,24.30,41
Redlands,0.59,1.22,40.82,42
Orange,0.46,1.08,41.36,43
Colton,0.65,1.09,29.35,44
Fullerton,0.44,1.06,39.67,45
Rancho Cucamonga,0.59,1.2,39.86,45
Highland,0.46,1.02,34.64,47
Vallejo,0.72,1.12,26.23,48
Northridge,0.57,1.11,37.50,48
Moorpark,0.56,1.47,49.19,50
Redwood City,0.47,0.91,23.84,51
Compton,0.51,1.01,29.76,52
Lafayette,0.40,0.96,33.82,53
Phelan,0.71,1.13,29.70,54
La Mesa,0.58,1.07,34.07,54
Spring Valley,0.48,0.96,28.65,56
Oakley,0.58,1.1,37.76,56
Pittsburg,0.72,1.14,30.65,58
Oakland,0.46,0.72,19.40,59
La Verne,0.63,1.46,47.56,59
Richmond,0.49,0.89,21.68,61
Sunnyvale,0.48,0.89,24.21,62
Ramona,0.79,1.25,34.59,63
Lake Elsinore,0.72,1.15,33.94,64
Chula Vista,0.48,0.97,33.66,65
Escondido,0.56,1.17,43.93,65
