"City","avg_active_price","avg_historical_sold_price","sale_to_list_ratio","market_type"
Los Angeles,2731802,1687553.0,0.62,Competative Market
San Diego,1133479,1180717.0,1.04,Buyers Market
San Jose,1391519,1510576.0,1.09,Buyers Market
Irvine,2011706,1750429.0,0.87,Balanced Market
Long Beach,1031465,994719.0,0.96,Balanced Market
Palm Springs,958799,916637.0,0.96,Balanced Market
Palm Desert,722270,783903.0,1.09,Buyers Market
Riverside,864562,737546.0,0.85,Balanced Market
Temecula,1186834,875742.0,0.74,Competative Market
Victorville,472787,439226.0,0.93,Balanced Market
Indio,561087,562677.0,1.0,Buyers Market
Lake Arrowhead,1041650,742833.0,0.71,Competative Market
Oakland,754978,1046807.0,1.39,Buyers Market
Lancaster,523513,488739.0,0.93,Balanced Market
Hemet,463458,414875.0,0.9,Balanced Market
Murrieta,979097,726103.0,0.74,Competative Market
Corona,900732,805639.0,0.89,Balanced Market
Palmdale,592087,548083.0,0.93,Balanced Market
Menifee,657967,575054.0,0.87,Balanced Market
Ontario,712508,673993.0,0.95,Balanced Market
Malibu,9490577,6106435.0,0.64,Competative Market
Apple Valley,509376,458605.0,0.9,Balanced Market
Escondido,1104381,941695.0,0.85,Balanced Market
Huntington Beach,1885511,1514573.0,0.8,Balanced Market
La Quinta,1428958,1341495.0,0.94,Balanced Market
